naics_sector,total_entities,total,fiscal_year
Repair services,1253.0,4994463,2011
Rentals except car and truck rentals,503.0,4457656,2011
Car and truck rental,113.0,6608755,2011
Other retail,5403.0,26396313,2011
"Office supplies stores, retail",71.0,2425463,2011
"Department stores, retail",29.0,10597402,2011
"Pharmacies, retail",157.0,4118805,2011
"Liquor and beer stores, retail",118.0,6158290,2011
"Convenience stores, retail",460.0,4166098,2011
"Supermarkets, retail",1022.0,5164155,2011
"Home centers, retail",25.0,7377143,2011
"Computer and software stores, retail",128.0,3165114,2011
"Appliance, other electronics, retail",165.0,3628924,2011
Furniture stores retail,178.0,3572782,2011
Total Retail,7756.0,76770489,2011
Wholesale,2322.0,19120539,2011
Telecommunications,249.0,22924916,2011
Public Utilities,37.0,11902150,2011
Motor Vehicle Sales Tax,,27212667,2011
Construction,928.0,4248240,2011
Manufacturing,1607.0,8823226,2011
Construction,952.0,4752542,2012
Manufacturing,1610.0,8667519,2012
Public Utilities,40.0,10715371,2012
Telecommunications,245.0,22373760,2012
Wholesale,2313.0,19591059,2012
Total Retail,7746.0,79906703,2012
Furniture stores retail,172.0,3769204,2012
"Appliance, other electronics, retail",165.0,3367280,2012
"Computer and software stores, retail",129.0,3420984,2012
"Home centers, retail",27.0,7559585,2012
"Supermarkets, retail",961.0,5212783,2012
"Convenience stores, retail",500.0,4412519,2012
"Liquor and beer stores, retail",124.0,6495728,2012
"Department stores, retail",28.0,10704285,2012
"Office supplies stores, retail",68.0,2396272,2012
Other retail,5409.0,28384036,2012
Car and truck rental,105.0,6656542,2012
Rentals except car and truck rentals,501.0,4301008,2012
Repair services,1235.0,4899075,2012
Services other than repair services,3505.0,14709668,2012
Hotels,98.0,8716582,2012
"Restaurants, bars, concessionaires and caterers",3925.0,33652634,2012
All Other Sectors,1747.0,10597614,2012
Unclassified,2746.0,3762841,2012
Motor Vehicle Sales Tax,,30297333,2012
"Pharmacies, retail",163.0,4184027,2012
"Pharmacies, retail",165.0,4052227,2013
Motor Vehicle Sales Tax,,30390000,2013
Construction,941.0,5288153,2013
Public Utilities,65.0,10223598,2013
Telecommunications,218.0,21439312,2013
Wholesale,1916.0,19926665,2013
Total Retail,8073.0,81519557,2013
Furniture stores retail,178.0,3777417,2013
"Appliance, other electronics, retail",181.0,3108159,2013
"Computer and software stores, retail",135.0,4609463,2013
"Home centers, retail",27.0,7516080,2013
"Supermarkets, retail",957.0,5299520,2013
"Convenience stores, retail",567.0,4672396,2013
Manufacturing,1665.0,8721426,2013
Unclassified,2891.0,4173867,2013
"Department stores, retail",28.0,10441722,2013
"Office supplies stores, retail",61.0,2217776,2013
Other retail,5638.0,29175602,2013
Car and truck rental,103.0,7020024,2013
Rentals except car and truck rentals,565.0,4356993,2013
Repair services,1301.0,5198143,2013
Services other than repair services,3801.0,16139439,2013
Hotels,92.0,9104480,2013
"Restaurants, bars, concessionaires and caterers",3963.0,34543037,2013
All Other Sectors,1827.0,11798043,2013
"Liquor and beer stores, retail",136.0,6649195,2013
Furniture stores retail,176.0,3691712,2014
Total Retail,8008.0,81687868,2014
Wholesale,1880.0,20712701,2014
Services other than repair services,3797.0,17996498,2014
Public Utilities,67.0,10851898,2014
Manufacturing,1661.0,8932703,2014
Construction,920.0,5357120,2014
"Appliance, other electronics, retail",176.0,2788700,2014
Telecommunications,218.0,20149577,2014
"Computer and software stores, retail",120.0,4770548,2014
"Department stores, retail",28.0,10240481,2014
"Supermarkets, retail",902.0,5418350,2014
"Convenience stores, retail",590.0,4657493,2014
"Liquor and beer stores, retail",147.0,6688387,2014
"Pharmacies, retail",177.0,4087461,2014
"Office supplies stores, retail",60.0,1979784,2014
Other retail,5608.0,29781228,2014
Car and truck rental,104.0,7401468,2014
Rentals except car and truck rentals,540.0,4554141,2014
