date,year,month,fiscal_year,total,naics_sector
2019-07-31,2019,7,2020,1746946.2439642134,"Arts, Entertainment, and Other Recreation"
2019-08-31,2019,8,2020,1282189.0756853158,"Arts, Entertainment, and Other Recreation"
2019-09-30,2019,9,2020,1392503.6498802768,"Arts, Entertainment, and Other Recreation"
2019-10-31,2019,10,2020,1643205.9644095849,"Arts, Entertainment, and Other Recreation"
2019-11-30,2019,11,2020,1401678.1855502785,"Arts, Entertainment, and Other Recreation"
2019-12-31,2019,12,2020,1389330.0957549894,"Arts, Entertainment, and Other Recreation"
2020-01-31,2020,1,2020,1922508.750160587,"Arts, Entertainment, and Other Recreation"
2020-02-29,2020,2,2020,1455441.5180124,"Arts, Entertainment, and Other Recreation"
2020-03-31,2020,3,2020,1631523.7605687468,"Arts, Entertainment, and Other Recreation"
2020-04-30,2020,4,2020,1514825.0833118416,"Arts, Entertainment, and Other Recreation"
2020-05-31,2020,5,2020,1609401.773042187,"Arts, Entertainment, and Other Recreation"
2020-06-30,2020,6,2020,1363479.3376048852,"Arts, Entertainment, and Other Recreation"
2020-07-31,2020,7,2021,1563817.6905860105,"Arts, Entertainment, and Other Recreation"
2020-08-31,2020,8,2021,1647959.3109457765,"Arts, Entertainment, and Other Recreation"
2020-09-30,2020,9,2021,1465967.888565666,"Arts, Entertainment, and Other Recreation"
2020-10-31,2020,10,2021,1715958.3757527745,"Arts, Entertainment, and Other Recreation"
2020-11-30,2020,11,2021,1508820.133720067,"Arts, Entertainment, and Other Recreation"
2020-12-31,2020,12,2021,1378171.9244520757,"Arts, Entertainment, and Other Recreation"
2021-01-31,2021,1,2021,2103347.7123068967,"Arts, Entertainment, and Other Recreation"
2021-02-28,2021,2,2021,1523788.4854784198,"Arts, Entertainment, and Other Recreation"
2021-03-31,2021,3,2021,1718157.812054756,"Arts, Entertainment, and Other Recreation"
2021-04-30,2021,4,2021,1743935.026509568,"Arts, Entertainment, and Other Recreation"
2021-05-31,2021,5,2021,1647397.3099722953,"Arts, Entertainment, and Other Recreation"
2021-06-30,2021,6,2021,1426170.1264397472,"Arts, Entertainment, and Other Recreation"
2021-07-31,2021,7,2022,1762790.780629696,"Arts, Entertainment, and Other Recreation"
2021-08-31,2021,8,2022,1646006.6210601544,"Arts, Entertainment, and Other Recreation"
2021-09-30,2021,9,2022,1556454.5572681015,"Arts, Entertainment, and Other Recreation"
2021-10-31,2021,10,2022,1827413.4272086918,"Arts, Entertainment, and Other Recreation"
2021-11-30,2021,11,2022,1589833.102228431,"Arts, Entertainment, and Other Recreation"
2021-12-31,2021,12,2022,1493283.420861722,"Arts, Entertainment, and Other Recreation"
2022-01-31,2022,1,2022,2204421.5005963896,"Arts, Entertainment, and Other Recreation"
2022-02-28,2022,2,2022,1569622.7841190354,"Arts, Entertainment, and Other Recreation"
2022-03-31,2022,3,2022,1782292.3906949777,"Arts, Entertainment, and Other Recreation"
2022-04-30,2022,4,2022,1965608.8488204482,"Arts, Entertainment, and Other Recreation"
2022-05-31,2022,5,2022,1654437.3408462035,"Arts, Entertainment, and Other Recreation"
2022-06-30,2022,6,2022,1469421.2343914565,"Arts, Entertainment, and Other Recreation"
2022-07-31,2022,7,2023,1973048.3252952697,"Arts, Entertainment, and Other Recreation"
2022-08-31,2022,8,2023,1632976.7440526488,"Arts, Entertainment, and Other Recreation"
